EntityNumber,Language,TypeOfDenomination,Denomination
0550.834.789,2,1,T&G
0550.857.159,2,1,BRAND WORKS BELGIUM
0551.976.718,2,1,MINDYOURDATA
0552.734.407,2,1,IFW Globe
0552.874.363,2,1,Imuze
0552.894.654,2,1,"Vereniging van mede-eigenaars gebouw te Antwerpen, Duboisstraat 18"
0552.901.285,2,1,HORECA INVEST PROJECTS GLOBAL
0552.952.161,2,1,"Vereniging van Mede-eigenaars van het gebouw te Antwerpen, Dambruggestraat 32"
0553.505.061,2,1,DANOSEA
0553.555.739,2,1,SABZ FLORA
0553.576.921,2,1,vzw BOM
0553.576.921,2,2,BOM
0553.614.335,2,1,"Vereniging van Mede-eigenaars gebouw te Antwerpen, Jan Palfijnstraat 21-23"
0553.615.226,2,1,"Vereniging van Mede-eigenaars gebouw te Antwerpen, Kerkstraat 43-45-47"
0553.853.271,2,1,"Vereniging van mede-eigenaars gebouw te Antwerpen, Duboisstraat 20-22"
0553.882.668,2,1,PINKY'S
0553.919.488,2,1,ALPHA-ASTRID
0553.973.235,2,1,OBILIX
0554.702.616,2,1,Concar
0554.739.040,2,1,MEUBELWERELD
0554.740.624,1,1,ASBL JEUNES AFRICAINES
0554.746.760,2,1,LA DONNA PAZZA
0554.805.455,2,1,SAIFAN
0554.877.315,2,1,"Vereniging van Mede-eigenaars Residentie De Natie te Antwerpen, Van Aerdtstraat 21"
0555.680.336,2,1,KOERDISCHE VROUWEN RAAD ANTWERPEN
0555.715.770,2,1,FASHION CLUB RETAIL MANAGEMENT
0555.715.770,2,2,FCRM
0555.719.631,2,1,Samen Tegen Armoede-Antwerps Netwerk
0555.719.631,2,2,STA-AN
0555.802.674,2,1,Chen's China Garden
0555.804.852,2,1,"Vereniging van Mede-eigenaars van de residentie ""Fuggerstraat 31"" te 2060 Antwerpen, Fuggerstraat 31"
0555.841.474,2,1,KMO2060
0555.896.904,2,1,VAN A&R TRANS
0555.951.639,2,1,THERMA PRO
0556.680.525,2,1,SHAR
0556.690.324,2,1,ORANGE FOG HOLDINGS
0556.922.728,2,1,BULUTUM
0557.932.617,2,1,"Vereniging van mede-eigenaars gebouw te Antwerpen, Carnotstraat 127"
0557.954.292,2,1,HELP ME SURVIVE ORG
0558.927.361,2,1,Vips Ekeren
0558.927.361,2,2,Vips Ekeren
0558.977.742,2,1,WADADA
0559.879.446,2,1,CONFETTI
0559.890.532,2,1,A&G THUISZORG
0559.944.178,2,1,SITTI
0560.728.393,2,1,"Vereniging van Mede-eigenaars te Antwerpen, Van Maerlantstraat 29"
0560.753.733,2,1,Jamaatu Noor
0560.762.245,2,1,NEXT VENTURES
0561.707.501,2,1,De Zangvogels
0561.767.580,2,1,"Vereniging van mede-eigenaars te 2060 Antwerpen, Sint-Jansplein 58-59"
0561.836.668,2,1,Yassin-Electronics
0562.817.358,2,1,BEBY
0562.900.106,2,1,Rafael Samir
0562.900.106,2,3,T & S
0562.914.556,2,1,A.R.S.
0563.314.830,2,1,"Vereniging van Mede-eigenaars te Antwerpen, Van Kerckhovenstraat 37"
0563.366.003,2,1,"Vereniging van Mede-eigenaars te Antwerpen, Van Maerlantstraat 43"
0563.367.189,2,1,"Vereniging van Mede-eigenaars te Antwerpen, Selderstraat  27"
0563.385.007,2,1,LOTUS
0563.510.216,2,1,AZOR
0563.531.101,2,1,Voyager
0563.531.101,2,3,Voyager
0563.719.953,2,1,GLOBE TECH
0563.778.648,2,1,CREWPLANNER
0563.991.058,2,1,HANAN
0564.993.326,2,1,KRANTENWINKEL PEETERS
0564.996.195,2,1,MONDIAL7
0566.896.902,2,1,"Vereniging van Mede-eigenaars te Antwerpen, Hardenvoort 36"
0566.930.653,2,1,EYLEM
0567.521.462,2,1,KM21
0567.526.511,2,1,Bothworlds
0567.539.575,2,1,INDUSERVICE
0567.575.110,2,1,MM SOLUTION
0567.627.766,2,1,Nédée Frederik
0567.682.602,2,1,Frozen Lemon
0567.807.811,2,1,IMMO ATLAS
0567.907.977,2,1,PIZZA SERVICE ANTWERPEN
0567.907.977,2,2,PSA
0568.573.319,2,1,"Vereniging van Mede-eigenaars gebouw ""De Drie Snellen"" te Antwerpen, Bredastraat 80"
0568.604.397,2,1,SMART
0568.981.709,2,1,Pietrain Junior
0588.981.723,2,1,IMPACT
0597.607.102,2,1,Noortje Palmers
0597.662.233,2,1,Snooker Point
0597.666.290,2,1,Nasro
0597.685.294,2,1,PUNTKOMA
0597.691.531,2,1,BUILDING DIAMONDS
0597.695.390,2,1,4-STROKE KAPELLEN
0597.695.390,2,2,4SK
0597.704.201,2,1,Metropolitan
0597.932.942,2,1,"Vereniging van Mede-eigenaars gebouw te 2060 Antwerpen, Sint-Jobstraat 11"
0598.735.072,2,1,ABSENDER
0598.833.062,2,1,Jef Meyer
0598.899.576,2,1,Rocha Buyl
0599.757.730,2,1,DE ZENDELINGEN
0599.780.296,2,1,HUMANITARIAN ASSOCIATION FISABILILLAH
0599.899.171,2,1,BBS
0600.849.375,2,1,Forma Foot Academie
0600.849.375,2,2,FFA
0600.924.007,2,1,AZRAMI
0600.944.989,2,1,The Lung Project
0600.972.804,2,1,AAAH TEAM
0600.986.660,2,1,DYLMAR
0604.977.518,2,1,C.L.T.P.
0604.992.661,2,1,Veromax
0606.962.454,2,1,Antwerpen Café
0606.972.253,2,1,A-CAB
0607.851.686,2,1,CLEARED EUROPE SERVICES
0607.878.313,2,1,House of Innovation
0607.878.313,2,2,HOI
0607.899.097,2,1,Cécile Osse Coaching & Consultancy
0607.934.632,2,1,Fashion Club Immo Management
0607.934.632,2,2,FCIM
0612.989.916,2,1,DPRS
0627.695.413,2,1,MARHABA 2
0627.716.197,2,1,Boogie Belgique
0627.720.652,2,1,DEHAN
0627.912.870,2,1,Daily Dolores
0627.912.870,2,2,Daily Dolores
0627.912.870,2,3,Daily Dolores
0627.945.435,2,1,Qap de l' eau
0627.992.648,2,1,DUE SEASON MINISTRIES
0628.437.264,2,1,Petruschka
0628.437.264,2,3,Ingenieursbureau Franck
0628.438.551,2,1,Snow Lion
0628.508.332,2,1,AFRICAN QUEENS CENTER
0628.508.332,2,2,AQ CENTER
0628.653.634,2,1,HART VOOR LUCERNA ANTWERPEN
0628.653.634,2,2,HVLA
0628.800.322,2,1,Shade
0628.833.083,2,1,G-PRINCE
0628.917.910,2,1,DEN ACER
0628.996.993,2,1,COLLECTIEF GOED
0629.701.234,2,1,A.S.A.
0629.727.265,2,1,INTO THE BOX
0629.813.476,2,1,BOOT
0629.892.561,2,1,All World Toko
0630.700.433,2,1,FC Snowlion Boys
0630.809.113,2,1,GOLDEN CAFE
0630.966.291,2,1,"Vereniging van Mede-eigenaars van het gebouw te 2060 Antwerpen, Nachtegaalstraat 27"
0631.685.972,2,1,HILAL HULPORGANISATIE VZW
0631.715.765,2,1,MANILA BAY
0631.750.706,2,1,GLOBAL INITIATIVES FOR WOMENS RIGHTS IN AFRICA VZW
0631.750.706,2,2,GIWA
0631.806.926,2,1,Kingz Donna
0631.876.905,2,1,The Loveling Lab
0632.451.876,2,1,"Vereniging van Mede-eigenaars van de ""Residentie LION"" te 2060 Antwerpen, Lange Beeldekensstraat 161-163"
0632.478.107,2,1,Antwerpse Vis
0632.492.755,2,1,Hope Outreach Foundation
0632.526.013,2,1,Ilicom
0632.634.097,2,1,SHOW BOAT
0632.726.941,2,1,CANWELL BV
0632.848.883,2,1,Nicholas
0632.973.597,2,1,AYDEMIR
0633.531.447,2,1,STEACO 15
0633.784.538,2,1,Khayre
0633.784.538,2,2,KYR
0633.811.856,2,1,HOMH
0634.563.409,2,1,Cura et Age
0634.570.535,2,1,MOON
0634.622.203,2,1,Indigenous Art Exchange
0634.622.203,2,2,Indarte
0634.990.506,2,1,DK
0635.514.009,2,1,ANAS969
0635.952.883,2,1,"Vereniging van Mede-eigenaars Residentie ""De Nieuwe Kade"" te 2060 Antwerpen, Ijzerlaan 28A"
0636.741.355,2,1,"Vereniging van Mede-eigenaars van het gebouw te 2060 Antwerpen, Constitutiestraat 57"
0636.793.320,2,1,"Vereniging van Mede-eigenaars van het gebouw te 2060 Antwerpen, Congresstraat 18-20"
0636.811.532,2,1,"Vereniging van Mede-eigenaars van het gebouw te 2060 Antwerpen, Handelstraat 3 - 5"
0636.820.341,2,1,General Constructor Stefan
0636.998.406,2,1,"Vereniging van Mede-eigenaars van het gebouw te 2060 Antwerpen, Noorderlaan 72-74"
0637.719.768,2,1,"Vereniging van Mede-eigenaars van het gebouw te 2060 Antwerpen, Lange Lobroekstraat 67-69"
0637.726.203,2,1,Sid's
0637.823.993,2,1,Afghaans Gemeenschapscentrum Al Aqsa
0637.823.993,2,2,Al Aqsa
0637.861.409,2,1,Boa Bay
0637.967.020,2,1,AMN TRADING
0638.781.226,2,1,RMS TEX
0638.818.640,2,1,VIADUCTJE
0639.792.895,2,1,CENTRO DE BELLEZA CABRERA RAMIREZ
0639.856.441,2,1,SJA Services
0639.918.304,2,1,MIRZA  v.z.w.
0639.918.304,2,2,M'RZA
0639.940.573,2,1,Singh and Ghotra
0639.965.022,2,1,THE ULTIMATE GRACE OF GOD
0640.735.379,2,1,SARDAR JI
0640.756.660,2,1,"Vereniging van Mede-eigenaars van het gebouw te 2060 Antwerpen, Ooievaarstraat 16 - Lindeboomstraat 25-27-29"
0640.785.364,2,1,Tandartsenpraktijk ARTES
0640.809.813,2,1,Davy Dooms Graphic & Brand Design
0640.930.567,2,1,Fountain of Grace Foundation (FGF)
0641.675.586,2,1,"Vereniging van Mede-eigenaars ""VIA DAM"" te 2060 Antwerpen, Joossensgang 24 (voorheen Viaduct Dam)"
0641.676.081,2,1,"Deelvereniging van Mede-eigenaars ""BLOK KELDER VIA DAM"" te 2060 Antwerpen, Viaduct Dam 21"
0641.676.774,2,1,"Deelvereniging van Mede-eigenaars ""BLOK S VIA DAM"" te 2060 Antwerpen, Viaduct Dam 23"
0641.677.863,2,1,"Deelvereniging van Mede-eigenaars ""BLOK A VIA DAM"" te 2060 Antwerpen, Joossensgang 24 (voorheen Viaduct Dam)"
0641.871.863,2,1,555 MANAGEMENT
0642.614.904,2,1,KINGDOM INFLUENCE MINISTERIE
0642.614.904,2,2,KINGDOM INFLUENCE VZW
0642.655.286,2,1,Renovatiewerken Z.A.
0642.665.580,2,1,Okinawa
0642.713.486,2,1,"Vereniging van Mede-eigenaars van de ""RESIDENTIE WINVEST 159"" te 2060 Antwerpen, Bredastraat 136-138"
0642.754.365,2,1,Apéro
0642.756.642,2,1,M & T PROJECT
0642.756.741,2,1,CHANH THA Spa & Beauty
0642.764.461,2,1,Neurami
0642.772.973,2,1,Beerlovers Bar
0642.824.542,2,1,TEAL PARTNERS
0642.891.353,2,1,Techno Bull
0642.910.951,1,1,EUROPEAN TRANSPORTATION SERVICE
0643.771.281,2,1,"Hoofdvereniging van Mede-eigenaars van het gebouw te 2060 Antwerpen, Congresstraat 11-29 Bisschopstraat 22"
0643.772.469,2,1,"Deelvereniging van Mede-eigenaars van het gebouw te 2060 Antwerpen, BLOK A, Congresstraat 3-29 Bisschopstraat 22"
0643.773.855,2,1,"Deelvereniging van Mede-eigenaars van het gebouw te 2060 Antwerpen, BLOK B, Congresstraat 3-29 Bisschopstraat 22"
0643.775.142,2,1,"Deelvereniging van Mede-eigenaars van het gebouw te 2060 Antwerpen, BLOK C, Congresstraat 3-29 Bisschopstraat 22"
0643.776.825,2,1,"Deelvereniging van Mede-eigenaars van het gebouw te 2060 Antwerpen, BLOK D (Parking -1), Congresstraat 3-29 Bisschopstraat 22"
0643.780.090,2,1,"Deelvereniging van Mede-eigenaars van het gebouw te 2060 Antwerpen, BLOK E (Parking -2), Congresstraat 3-29 Bisschopstraat 22"
0643.825.226,2,1,briljant
0643.954.888,2,1,LENAS
0643.967.657,2,1,SANHARIB NG
0644.505.810,2,1,Luxomattic
0644.582.915,2,1,Ashur
0644.784.734,2,1,smplr
0644.825.019,2,1,Vrienden van Sam Dillemans
0644.879.853,2,1,Segers & partners
0644.941.320,2,1,CHALDEAN LEAGUE BELGIUM
0645.850.150,2,1,Werkplaats4
0646.916.655,2,1,"Vereniging van Mede-eigenaars van de Residentie WINVEST 154 te 2060 Antwerpen, Nachtegaalstraat 15"
0646.953.376,2,1,Jad Fish
0646.959.019,2,1,BIJ COLONYS
0646.959.316,2,1,TMK COMPANY
0647.607.434,2,1,PAVLOV
0647.634.059,2,1,INSTALLATIEBEDRIJF RE-FIX
0647.787.180,2,1,SAHAR
0647.815.587,2,1,PURPLE WINGS
0647.889.031,2,1,"Vereniging van Mede-eigenaars van de Residentie Roosevelt te 2060 Antwerpen, Franklin Rooseveltplaats 3"
0647.902.392,2,1,"Deelvereniging van Mede-eigenaars van het appartementsgebouw te Antwerpen, Osystraat 31-33"
0647.906.649,2,1,El Ammarti
0647.923.574,2,1,"Vereniging van Mede-eigenaars ""PARK SPOOR 12"" te 2060 Antwerpen, Viaduct Dam 88-96"
0648.589.015,2,1,"Vereniging van Mede-eigenaars van de"" Residentie WINVEST 156"" te 2060 Antwerpen, Muizenstraat 5"
0648.660.378,2,1,STUDIO KROLLENBOL
0648.996.316,2,1,RECHTERHAND
0648.998.987,2,1,PU YU
0649.423.809,2,1,SMART TECHNO
0649.478.049,2,1,FEDERATION OF OVERSEAS CANTONESE IN EUROPE
0649.518.334,2,1,BAKOSSI CULTURAL AND DEVELOPMENT ASSOCIATION
0649.518.334,2,2,BACDAB
0649.618.205,2,1,Muhtar
0649.806.364,2,1,Atletiekkamp Lier
0650.734.002,2,1,VGI
0650.947.204,2,1,Simba
0651.673.120,2,1,"Vereniging van Mede-Eigenaars van het gebouw te 2060 Antwerpen, Handelstraat 86-88"
0651.714.195,2,1,SUPER SMOS
0651.721.323,2,1,SWEETSHOP
0651.733.892,2,1,ROYAL COMPANY
0652.667.864,2,1,Rotkat vzw
0652.667.864,2,2,Rotkat
0652.727.549,2,1,FORCE JEUNE BELGIQUE
0652.727.549,2,2,FJB
0652.861.567,2,1,Sticky Time
0652.887.895,2,1,S & P Renovatiewerken
0652.967.772,2,1,Rotkop
0652.989.845,2,1,GERT VREBOS
0653.733.775,2,1,Solvetech
0653.816.721,2,1,"Vereniging van Mede-Eigenaars ""100 NOORD"" te 2060 Antwerpen, Dambruggestraat 339"
0653.827.114,2,1,Solidariteits Plus
0653.881.849,2,1,NASSIM ZEYNEB
0653.888.876,2,1,BANDENCENTRALE G.M.
0653.913.721,2,1,Unity Club
0654.749.010,2,1,"Vereniging van Mede-Eigenaars ""VTWEE"" te 2060 Antwerpen, Van Stralenstraat 23-25"
0654.926.182,2,1,SACHLI GHOLAMALIZAD
0654.939.050,2,1,NECHORA BELGIUM
0654.939.446,2,1,ALEENA
0654.951.126,2,1,Fundament 2060
0654.965.972,2,1,Taxi Phone
0655.663.085,2,1,KERYANA
0655.739.794,2,1,GUNZBURG SCHOTS ADVOCATEN
0655.739.794,2,2,GGW
0655.791.561,2,1,HMS
0655.903.310,2,1,GOHADPUR
0655.927.262,2,1,STUDIO BOILER
0655.940.031,2,1,Sushi & Co
0655.956.164,2,1,"Vereniging van Mede-Eigenaars van het gebouw te 2060 Antwerpen, Sint-Jansplein 13"
0655.959.827,2,1,Islamitisch Offerfeest Antwerpen
0655.969.527,2,1,DELMAR
0656.491.545,2,1,GMB BOUW
0656.503.423,2,1,sealadvice
0656.530.642,2,1,BELAGE
0656.574.390,2,1,CORNELIS & CORNELIS
0656.681.387,2,1,Amber Investments
0656.903.992,2,1,KOERDISCHE HUMANITAIRE VERENIGING
0656.949.029,2,1,NEW BALLYWOOD
0657.945.654,2,1,HAG Logistics
0657.946.842,2,1,NOUMATRANS
0657.947.139,2,1,SABRIN
0658.839.539,2,1,Kristiaan Van Weert Architectuur
0658.859.731,2,1,KOEKOEK
0658.965.441,2,1,VROOMSE RIJSCHOOL 1
0658.997.907,2,1,ALMUSTAFA INTERNATIONAL
0659.700.067,2,1,WP Lavori Belgium
0659.709.272,2,1,Bonds in Europe Foundation
0659.709.272,2,2,BOEFO
0659.712.440,2,1,Débélé
0659.724.813,2,1,Leyssens Michiel
0659.775.588,2,1,DOCTORP
0659.775.588,2,3,DOCTORP
0659.983.050,2,1,FM Textile
0660.831.108,2,1,ZIDIS
0661.657.289,2,1,RAFRAM
0661.690.844,2,1,Veren
0661.740.829,2,1,"Vereniging van Mede-eigenaars van de Residentie"" Dambruggestraat 39"", te 2060 Antwerpen"
0661.742.710,2,1,"Vereniging van Mede-eigenaars Residentie ""CLUNY"" te Antwerpen, Constitutiestraat 16/18"
0661.748.153,2,1,"Vereniging van Mede-eigenaars van het wooncomplex ""RESIDENTIE WINVEST 157"", te 2060 Antwerpen, Lange Beeldekensstraat 238-240"
0661.748.351,2,1,"Vereniging van mede-eigenaars ""RESIDENTIE WINVEST 168"" te 2060 Antwerpen, Kerkstraat 19"
0661.810.016,2,1,ROSE GARDEN SNACKS
0661.810.016,2,2,RGS
0662.642.830,2,1,"Vereniging van mede-eigenaars van het wooncomplex "" Winvest 163"" te 2060 Antwerpen, Rotterdamstraat 28"
0662.882.855,2,1,OSINE
0663.549.284,2,1,"Vereniging van Mede-eigenaars van de ""Residentie Osy"" te 2060 Antwerpen, Osystraat 50"
0663.667.961,2,1,trendy networkz
0663.668.258,2,1,TINTON RAKI
0663.677.166,2,1,DI-ON GLOBE
0663.688.153,2,1,SINGH SAHIB
0663.779.512,2,1,GA NORD
0663.862.555,2,1,Bazed
0664.548.978,2,1,"Dr. K. Peters, Plastische Chirurgie"
0664.581.444,2,1,"Vereniging van Mede-Eigenaars van het gebouw te 2060 Antwerpen, Osystraat 41"
0664.584.414,2,1,"Vereniging van Mede-Eigenaars van het gebouw te 2060 Antwerpen, Viséstraat 106-108"
0664.696.359,2,1,KV Invest
0664.770.989,2,1,GLORIE.TODAY
0664.825.132,2,1,YYO
0664.872.345,2,1,Bench express
0665.610.436,2,1,MA-NGE-BEH
0665.617.859,2,1,New Alfila
0665.617.859,2,3,New Alfila
0665.620.532,2,1,LUCKY8
0665.664.577,2,1,NOORD-TR
0665.832.051,2,1,HALI
0665.905.592,2,1,AFIA IMAM
0666.407.222,2,1,Flower Co
0666.493.829,2,1,La Belle Maison
0666.675.357,2,1,Nador
0666.790.866,2,1,AY-YILDIZ 66
0666.793.737,2,1,"Vereniging van Mede-Eigenaars van de Residentie Winvest 167 te 2060 Antwerpen, De Pretstraat 41"
0666.865.694,2,1,Amy HQ
0666.919.045,2,1,HaskoningDHV - Wiegerinck  - Talboom
0666.919.441,2,1,GLOBAL ACADEMIC RESEARCH CENTER (G-ARC)
0666.919.441,2,2,G-ARC
0667.619.128,2,1,"Vereniging van Mede-Eigenaars van het appartementsgebouw te 2060 Antwerpen, Dijlestraat 2-4"
0667.640.112,2,1,SATANG
0667.644.070,2,1,Het Debuut
0667.732.756,2,1,"DR. E. LECOK, HUISARTS"
0667.765.717,2,1,MAAR
0667.806.891,2,1,DUHOK
0668.364.246,2,1,"Vereniging van Mede-Eigenaars van de ""Residentie Winvest 174"" te 2060 Antwerpen, Lange Van Sterbeeckstraat 15"
0668.434.918,2,1,North Park Ventures
0668.500.640,2,1,Super Action
0668.547.160,2,1,STUDIX
0668.614.367,2,1,SBT Offerande
0668.692.363,2,1,Mentover
0668.729.480,2,1,BILT-EENHEID
0668.743.734,2,1,Claybur Consultancy
0668.787.581,2,1,FRIENDS
0668.892.105,2,1,S&M Parfums
0668.898.736,2,1,DB Bruxelles
0668.898.736,2,3,DB Bruxelles
0668.947.434,2,1,KASHMIR EXPORT
0669.545.468,2,1,Skinne
0669.581.892,2,1,MSI MANAGEMENT
0669.736.696,2,1,Groep Van Looveren
0669.743.329,2,1,MOTHER NORA S REFUGE TEMPLE
0669.743.329,2,2,MNRT
0669.785.097,2,1,Steen Architecten
0669.863.192,2,1,ssnn
0669.863.192,2,3,ssnn
0669.881.703,2,1,Zicht Architecten
0670.430.445,2,1,STAR AGRITECH EUROPE
0670.533.383,2,1,One Trick Pony
0670.533.383,2,2,OTP
0670.613.953,2,1,Café Vert
0670.617.616,2,1,MUGUET
0670.693.137,2,1,Aliquid
0670.693.137,2,3,Nilsco
0670.727.383,2,1,WARMOES
0670.727.383,2,2,WARMOES
0670.727.383,2,3,WARMOES
0670.740.647,2,1,CLUSTER-PARK
0670.879.021,2,1,Phocus
0670.896.441,2,1,BELLA MEUBEL
0670.979.682,2,1,MONDZORG
0671.602.066,2,1,LOAJEKOP
0671.602.066,2,2,LK
0671.608.303,2,1,EXIR
0671.647.992,2,1,Bibliotheque Medicale
0671.647.992,2,2,Bimed
0671.828.928,2,1,MTronics
0671.842.190,2,1,REIS58
0671.872.478,2,1,GROUP-Z
0671.980.564,2,1,STICKY TIME
0672.387.766,2,1,CAPRA IBEX
0672.464.079,2,1,Nadi Sury
0672.527.922,2,1,TANGER MARKT BORGERHOUT
0672.570.581,2,1,"Vereniging van Mede-Eigenaars van het gebouw ""Winvest 164"" te 2060 Antwerpen, Goudbloemstraat 18"
0672.667.482,2,1,"Ethiopische gemeenschap in Belgie, Antwerpen"
0672.667.482,2,2,EGBA
0672.667.779,2,1,ESHEN
0672.858.712,2,1,Rombit Consulting
0672.865.145,2,1,Fast Service Center
0672.865.145,2,2,FSC
0672.865.145,2,3,FSC
0672.888.208,2,1,Asian Jewellery Shop
0672.919.682,2,1,Exclusive Beauty Salon
0673.814.458,2,1,SOMALISCH CULTUREEL CENTRUM
0673.814.458,2,2,SCC
0673.870.678,2,1,L en D Events
0673.950.159,2,1,Wasbeer
0673.952.733,2,1,BABS ADMIN
0673.959.364,2,1,MAXDVS
0674.514.244,2,1,"Vereniging van Mede-eigenaars van het gebouw te 2060 Antwerpen, Brugstraat 16"
0674.520.677,2,1,"Vereniging van Mede-eigenaars van de Residentie ""Koffienatie"" te 2060 Antwerpen, Bredastraat"
0674.545.027,2,1,"Vereniging van Mede-Eigenaars van het gebouw te 2060 Antwerpen, Pothoekstraat 27"
0674.637.176,2,1,YOUR BIT COUNTS
0674.637.176,2,2,YBC
0674.637.572,2,1,Vereniging België - Bulgarije Antwerpen
0674.670.632,2,1,Cloudbike
0674.734.473,2,1,CCS ELEKTRO
0674.932.334,2,1,STORMRAM
0675.358.936,1,1,SALIMI AND SONS
0675.421.391,2,1,RIJSCHOOL EXPERIENCE
0675.441.682,2,1,"Vereniging van Mede-Eigenaars van het gebouw te 2060 Antwerpen, Cassiersstraat 6"
0675.465.042,2,1,AG International
0675.505.327,2,1,Meug
0675.536.605,2,1,JL AGENCY
0675.673.096,2,1,Z & Z
0675.698.733,2,1,"Vereniging van Mede-Eigenaars van het gebouw ""Samberstraat 63-65"" te 2060 Antwerpen, Samberstraat 63-65"
0675.699.030,2,1,"Deelvereniging van Mede-Eigenaars van ""Parkeergarage Samberstraat 63-65"" te 2060 Antwerpen, Samberstraat 63-65"
0675.699.129,2,1,"Deelvereniging van Mede-Eigenaars van ""Studentenresidentie Samberstraat 63-65"" te 2060 Antwerpen, Samberstraat 63-65"
0675.918.170,2,1,AS 61
0675.936.778,2,1,EVENBEELD
0675.953.507,2,1,LICHTKAAI
0676.357.046,2,1,SAK Projekt
0676.406.140,2,1,Stylosofie
0676.582.423,2,1,"Vereniging van Mede-eigenaars van het gebouw ""Koning Noord"" te 2060 Antwerpen, Twee Netenstraat 64-66-68"
0676.621.223,2,1,KaLi4Vy International Tax Services
0676.621.223,2,2,KaLi4Vy
0676.642.207,2,1,Salai
0676.645.571,2,1,BERRENSTEIN
0676.665.268,1,1,BEST SUPERMARKET
0676.703.969,2,1,ISTATE
0676.717.134,2,1,Shewit
0676.782.856,2,1,DHOOL KHURD
0676.785.727,2,1,RADIOPARTNERS
0676.785.727,2,2,RADIOPARTNERS
0676.785.727,2,3,RADIOPARTNERS
0676.915.785,2,1,EL MOURABIT
0677.464.232,2,1,"Vereniging van Mede-Eigenaars van het gebouw te 2060 Antwerpen, Pothoekstraat 13-15"
0677.722.568,2,1,SSP
0677.739.691,2,1,TBN GROUP
0678.440.269,1,1,DBSM
0678.775.217,2,1,"Vereniging van Mede-Eigenaars van het gebouw ""WINVEST 176"" te 2060 Antwerpen, Tulpstraat 39"
0678.817.183,2,1,SHAH G
0678.853.213,2,1,BRANDBAR
0678.885.578,2,1,Café Bar
0678.971.096,2,1,Aslam Zada
0679.447.782,2,1,Studio Anorak
0679.574.575,2,1,Motmans & Partners Antwerpen
0679.621.392,2,1,CONBUILD INVEST
0679.636.438,2,1,Mulla
0679.906.454,2,1,Jeugdcentrum Seventh Heaven vzw
0679.906.454,2,2,Seventh Heaven vzw
0679.913.283,2,1,ANSARI
0679.985.539,2,1,SOMALISCHE CULTURELE EN SPORTIEVE VERENIGING IN ANTWERPEN
0679.985.539,2,2,SCSVA
0680.406.302,2,1,Osaj Bouwwerken
0680.436.489,2,1,GROVER EN GROVER
0680.436.489,2,3,MOBILE BAZAAR’
0680.465.589,2,1,Monsieur Croche
0680.465.589,2,2,M. Croche
0680.560.116,2,1,NEW LIFE FAITH FULL GOSPEL MISSION
0680.620.393,2,1,Faqirzada
0680.664.539,2,1,Nova Lucis
0680.803.606,2,1,GreenTrain Africa
0680.803.606,2,2,GTA
0680.826.469,2,1,Karel Construct
0680.826.469,2,3,La Fenice
0680.874.969,2,1,RAHMAN.S SUPERMARKET
0680.886.253,2,1,CHAPTER FOUR
0680.930.397,2,1,AUTOBEL
0681.491.415,2,1,MOHCINE
0681.557.830,2,1,Ziggurat
0681.628.106,2,1,ALBATRANS
0681.929.202,2,1,Minhas
0682.438.550,2,1,KOCHAR
0682.438.550,2,3,DALAL BAKKERIJ
0682.511.301,2,1,BULSHO
0682.621.167,2,1,LES MAMANS-SAGES D'ANVERS : IKOKE - LOKENDO
0682.667.390,2,1,AL MESHWAR
0682.735.092,2,1,Hans Peeters
0683.470.512,2,1,STICHTING ADMINISTRATIEKANTOOR FINANCIAL ARTS
0683.552.961,2,1,"Vereniging van Mede-eigenaars van het gebouw te 2060 Antwerpen, Van Urselstraat 23-25"
0683.555.931,2,1,FASHION GLAMOUR
0683.596.810,2,1,"Vereniging van Mede-eigenaars van het gebouw te 2060 Antwerpen, Brugstraat 4"
0683.597.897,2,1,"Vereniging van Mede-eigenaars van het gebouw ""Residentie Oranje"" te 2060 Antwerpen, Oranjestraat 47-49"
0683.598.788,2,1,"Vereniging van Mede-eigenaars van het gebouw te 2060 Antwerpen, Van Arteveldestraat 62"
0683.599.778,2,1,"Vereniging van Mede-eigenaars van het gebouw te 2060 Antwerpen, Kerkstraat 177-181"
0683.603.342,2,1,trabalabra
0683.611.458,2,1,"Vereniging van Mede-eigenaars van het gebouw te 2060 Antwerpen, Herderstraat 7"
0683.664.413,2,1,Rochdi
0683.669.262,2,1,M-Flex Company
0683.695.590,2,1,SADHA
0683.791.305,2,1,BAHRIA
0683.807.933,2,1,ANTIGONE ADVOCATEN
0683.850.196,2,1,"Vereniging van Mede-Eigenaars van het gebouw te 2060 Antwerpen, Lange Dijkstraat 33"
0684.448.034,2,1,We Bring You
0684.448.034,2,2,WBY
0684.459.318,2,1,MARY'S  MEALS BELGIUM
0684.459.318,2,2,MM BELGIUM
0684.504.551,2,1,TUTTERS & BELLEN
0684.519.991,2,1,STITCHED
0684.519.991,2,2,STITCHED
0684.519.991,2,3,STITCHED
0684.537.512,2,1,Vishandel Koraal
0684.573.045,2,1,CHYA
0684.652.427,2,1,SMART SMK
0684.879.980,2,1,Classo Technology Group
0684.963.124,2,1,New European Trading and Consulting Company
0684.963.124,2,2,Neutc
0684.986.977,2,1,Matthias Geerts
0684.994.796,2,1,Reconbuild
0685.359.933,2,1,DeBarrage
0685.359.933,2,2,Barrage
0685.377.056,2,1,TAJ AL ANAKA
0685.431.395,2,1,Mehri International
